label	message	preprocessed_message
0	Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-	living simple loving also simple laughing simple winning tooo simple simple difficult gud nte
1	Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870	free top ringtone sub weekly ringtoneget st week freesend subpoly per weekstop sm
0	She's fine. Good to hear from you. How are you my dear? Happy new year oh.	shes fine good hear dear happy new year oh
0	Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.	dont fret ill buy ovulation test strip send wont get til like march send postal addressull alrightokay
0	Whos this am in class:-)	who class
0	A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol	lot sickness thing going round take easy hope u feel better soon lol
0	Is there any movie theatre i can go to and watch unlimited movies and just pay once?	movie theatre go watch unlimited movie pay
1	Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply	freemessage jamsterget crazy frog sound poly text mad real text mad crazy sound gbpweek tc apply
0	Anything lor is she coming?	anything lor coming
0	Omw back to tampa from west palm, you hear what happened?	omw back tampa west palm hear happened
0	Dunno leh cant remember mayb lor. So wat time r we meeting tmr?	dunno leh cant remember mayb lor wat time r meeting tmr
0	Dude while were makin those weirdy brownies my sister made awesome cookies. I took pics.	dude makin weirdy brownie sister made awesome cooky took pic
0	Ay wana meet on sat?ü wkg on sat?	ay wana meet satü wkg sat
0	Sorry, I can't text &amp; drive coherently, see you in twenty	sorry cant text amp drive coherently see twenty
0	What happened to our yo date?	happened yo date
0	They r giving a second chance to rahul dengra.	r giving second chance rahul dengra
0	What you thinked about me. First time you saw me in class.	thinked first time saw class
1	Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save £s with Free texts/weekend calls. Text YES for a callback orno to opt out	mobile mths update latest orange cameravideo phone free save £s free textsweekend call text yes callback orno opt
0	Sounds good, keep me posted	sound good keep posted
1	sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 	sport fan get latest sport news str ur mobile wk free plus free tone txt sport wwwgetzedcouk norm txtp
0	Sday only joined.so training we started today:)	sday joinedso training started today
0	K.k:)apo k.good movie.	kkapo kgood movie
0	You said to me before i went back to bed that you can't sleep for anything.	said went back bed cant sleep anything
0	"Life is nothing wen v get everything. But ""life is everything wen v miss something "". Real value of people wil be realized only in their absence.... gud mrng"	life nothing wen v get everything life everything wen v miss something real value people wil realized absence gud mrng
0	Old Orchard near univ. How about you?	old orchard near univ
0	Ok i also wan 2 watch e 9 pm show...	ok also wan watch e pm show
0	Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... 	hungry buy food good lei mum n yun dun wan juz buy little bit
0	Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz	call plz number show coveragd area urgnt call vasai amp reach clock call plz
0	Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)	ya knw u vl givits ok thanks kanoanyway enjoy wit ur family wit st salary
0	Ok lor.	ok lor
0	Finish liao... U?	finish liao u
0	Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us	wait thats still clear sure sarcastic thats x doesnt want live u
0	The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.	world running stillmaybe feeling sameso itor admiti madthen correctionor let call lifeand keep running worldmay u r also runninglets run
1	I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.	dont know u u dont know send chat let find pmsg rcvd hgsuitelandsrowwjhl ldn year
0	K:)k..its good:)when are you going?	kkits goodwhen going
0	Oh:)as usual vijay film or its different?	ohas usual vijay film different
0	Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with	safe trip nigeria wish happiness soon company share moment
0	Also remember to get dobby's bowl from your car	also remember get dobbys bowl car
0	Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.	get gandhipuram walk cross cut road right side ltgt street road turn first right
0	Cos daddy arranging time c wat time fetch ü mah...	co daddy arranging time c wat time fetch ü mah
0	Do you like Italian food?	like italian food
0	I'm awake oh. What's up.	im awake oh whats
1	Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR	urgent please call landline complimentary lux costa del sol holiday £ cash await collection ppm sae tc james ehrr
0	Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*	geeee miss already know think fuck cant wait till next year together loving kiss
0	Host-based IDPS for linux systems.	hostbased idp linux system
0	Yeah, that's fine! It's £6 to get in, is that ok? 	yeah thats fine £ get ok
0	they released another Italian one today and it has a cosign option	released another italian one today cosign option
0	Sorry da thangam.it's my mistake.	sorry da thangamits mistake
0	What does the dance river do?	dance river
0	I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.	im school n ill da lab stuff give call ü r done
1	Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+	urgent call landline complimentary ibiza holiday £ cash await collection sae tc po box sk wp ppm
0	Correct. So how was work today	correct work today
0	O shore are you takin the bus	shore takin bus
0	Ryder unsold.now gibbs.	ryder unsoldnow gibbs
1	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app	today voda number ending selected receive award match please call quoting claim code standard rate app
0	You do your studies alone without anyones help. If you cant no need to study.	study alone without anyones help cant need study
0	I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.	im ok wif co like try new thing scared u dun like mah co u said loud
1	dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?	datingi two started sent text talk sport radio last week connection think coincidence
0	Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am	yup ok go home look timing msg ü xuhui going learn nd may lesson
0	May i call You later Pls	may call later pls
0	Did either of you have any idea's? Do you know of anyplaces doing something?	either idea know anyplaces something
1	You have won a guaranteed 32000 award or maybe even £1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???	guaranteed award maybe even £ cash claim ur award call free legitimat efreefone number wat u think
0	That sucks. So what do you got planned for your yo valentine? I am your yo valentine aren't I?	suck got planned yo valentine yo valentine arent
1	YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.	yes place town meet exciting adult single uk txt chat pmsg
1	Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL	hi ur lookin saucy daytime fun wiv busty married woman free next week chat sort time janinexx calls£minmobsmorelkpoboxhpfl
0	What are youdoing later? Sar xxx	youdoing later sar xxx
0	Excellent! Wish we were together right now!	excellent wish together right
0	Its  &lt;#&gt; k here oh. Should i send home for sale.	ltgt k oh send home sale
1	PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04	private account statement show unredeemed point call identifier code expires
0	Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts	call youcarlos isare phone vibrate acting might hear text
0	Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.	kind took garage centre part exhaust need replacing part ordered n taking fixed tomo morning
0	God created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. Now plz dont ask y he created so much gap between legs !!!	god created gap btwn ur finger dat sum vry special fill gap holding ur hand plz dont ask created much gap leg
0	Well, i'm glad you didn't find it totally disagreeable ... Lol	well im glad didnt find totally disagreeable lol
0	Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)	hai dear friend new amp present number rajitha raj ranju
0	You want to go? 	want go
1	You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810	winner u specially selected receive £ cash holiday flight inc speak live operator claim
0	Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...	say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls
0	There are no other charges after transfer charges and you can withdraw anyhow you like	charge transfer charge withdraw anyhow like
0	I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob	wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob
0	"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up"	tell make little spreadsheet track whose idea smoke determine smoke much entire month february ill come
0	Remind me how to get there and I shall do so	remind get shall
0	Just curious because my cuz asked what I was up to	curious cuz asked
0	This is my number by vivek..	number vivek
0	Ya just telling abt tht incident..	ya telling abt tht incident
0	Awesome, I remember the last time we got somebody high for the first time with diesel :V	awesome remember last time got somebody high first time diesel v
0	Yes. Last  practice	yes last practice
1	"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"	specially selected receive award call line close cost ppm tc apply ag promo
0	I'll text you when I drop x off	ill text drop x
0	Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.	actually mobile full msg work online need send ltgt sent msg wil explain u later
1	Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!	please call customer service representative ampm guaranteed £ cash £ prize
0	Hai priya are you right. What doctor said pa. Where are you.	hai priya right doctor said pa
0	GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI	gran onlyfound afew day agocusoon honi
0	It wont b until 2.15 as trying 2 sort house out, is that ok?	wont b trying sort house ok
0	If you were/are free i can give. Otherwise nalla adi entey nattil kittum	wereare free give otherwise nalla adi entey nattil kittum
0	Aiyar sorry lor forgot 2 tell u...	aiyar sorry lor forgot tell u
0	Ok... Help me ask if she's working tmr a not?	ok help ask shes working tmr
0	Where are you ? What are you doing ? Are yuou working on getting the pc to your mom's ? Did you find a spot that it would work ? I need you	yuou working getting pc mom find spot would work need
0	Fine am simply sitting.	fine simply sitting
0	Still i have not checked it da. . .	still checked da
0	My birthday is on feb  &lt;#&gt;  da. .	birthday feb ltgt da
0	My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.	trip ok quite tiring lor uni start today ok co im taking module jus concentrating final yr project
0	Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen	good afternoon glorious anniversary day sweet j hope find happy content prey think send teasing kiss across sea coaxing image fond souveniers cougarpen
0	I need an 8th but I'm off campus atm, could I pick up in an hour or two?	need th im campus atm could pick hour two
0	Sorry, I'll call you  later. I am in meeting sir.	sorry ill call later meeting sir
1	You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill	donate £ unicef asian tsunami disaster support fund texting donate £ added next bill
0	PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)	piss talking someone realise u point itnow read backwards
0	Take care and sleep well.you need to learn to change in life.you only need to get CONVINCED on that.i will wait but no more conversations between us.GET CONVINCED by that time.Your family is over for you in many senses.respect them but not overemphasise.or u have no role in my life.	take care sleep wellyou need learn change lifeyou need get convinced thati wait conversation usget convinced timeyour family many sensesrespect overemphasiseor u role life
0	Lemme know when you're here	lem know youre
0	Then wat r u doing now? Busy wif work?	wat r u busy wif work
1	"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"	free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
0	I'm fine. Hope you are good. Do take care.	im fine hope good take care
0	Normally i use to drink more water daily:)	normally use drink water daily
0	No but the bluray player can	bluray player
1	Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.	valentine day special win £ quiz take partner trip lifetime send go pmsg rcvd custcare
1	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 	congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss
0	Send me your resume:-)	send resume
0	Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.	idk keep saying youre since moved keep butting head freedom v responsibility im tired much shit deal im barely keeping together get added
1	Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only	get free mobile video player free movie collect text go free extra film ordered t c apply yr
0	WOT STUDENT DISCOUNT CAN U GET ON BOOKS?	wot student discount u get book
0	Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.	olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore
0	Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo	ask keep one maybe thats didnt get message sent glo
0	Not..tel software name..	nottel software name
0	Havent.	havent
0	That's a shame! Maybe cld meet for few hrs tomo?	thats shame maybe cld meet hr tomo
0	By the way, 'rencontre' is to meet again. Mountains dont....	way rencontre meet mountain dont
0	Are you planning to come chennai?	planning come chennai
0	Probably, want to pick up more?	probably want pick
0	Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side	message truro hospital ext phone phone side
0	I come n pick ü up... Come out immediately aft ur lesson...	come n pick ü come immediately aft ur lesson
0	Do you still have the grinder?	still grinder
0	Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?	aiyo u poor thing u dun wan eat u bathe already
0	Sorry, I'll call later	sorry ill call later
0	Am okay. Will soon be over. All the best	okay soon best
0	Oh ok.. Wat's ur email?	oh ok wats ur email
0	Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;	talk atleast day otherwise miss best friend world shakespeare shesil ltgt
0	Ya ok, then had dinner?	ya ok dinner
0	Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.	lol know theyre dramatic school already closed tomorrow apparently cant drive inch snow supposed get
1	Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p	someone contacted dating service entered phone becausethey fancy find call landline pobox wrg p
0	HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X	hey babe far spunout spk da mo dead da wrld sleeping da sofa day cool nytho tx fonin hon call mwen im bk frmcloud j x
1	Urgent! Please call 09061743810 from landline. Your ABTA complimentary 4* Tenerife Holiday or #5000 cash await collection SAE T&Cs Box 326 CW25WX 150 ppm	urgent please call landline abta complimentary tenerife holiday cash await collection sae tc box cwwx ppm
0	Which channel:-):-):):-).	channel
0	Your brother is a genius	brother genius
0	Just wait till end of march when el nino gets himself. Oh.	wait till end march el nino get oh
0	You know what hook up means right?	know hook mean right
0	I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop	know thinkin malaria relax child cant handle malaria would worse gastroenteritis take enough replace loss temp reduce give malaria med vomit self limiting illness mean day completely stop
0	Good morning princess! How are you?	good morning princess
0	Whatever, juliana. Do whatever you want.	whatever juliana whatever want
0	You dont know you jabo me abi.	dont know jabo abi
0	Aight no rush, I'll ask jay	aight rush ill ask jay
1	Ringtone Club: Gr8 new polys direct to your mobile every week !	ringtone club gr new polys direct mobile every week
0	What's a feathery bowa? Is that something guys have that I don't know about?	whats feathery bowa something guy dont know
0	1 in cbe. 2 in chennai.	cbe chennai
1	FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+	free st week nokia tone ur mob every week txt nokia get txting tell ur mate wwwgetzedcouk pobox wwq normptone
0	Hey what how about your project. Started aha da.	hey project started aha da
0	Yup	yup
1	money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy	money r lucky winner claim prize text money £million give away pptxnormal text rate box wtjy
0	Come to mu, we're sorting out our narcotics situation	come mu sorting narcotic situation
0	Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx	hi darlin cantdo anythingtomorrow myparents aretaking outfor meal u free katexxx
1	U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599	u secret admirer looking make contact ufind rreveal think ur specialcall
0	whatever, im pretty pissed off.	whatever im pretty pissed
0	I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;	career tel added u contact indyarockscom send free sm remove phonebook sm ltgt
0	Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.	lol gon na last month cashed left ltgt case collecting week cause announced blog
0	Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(	lol right diet everyday cheat anyway im meant fatty
0	Ooooooh I forgot to tell u I can get on yoville on my phone	ooooooh forgot tell u get yoville phone
0	K and you're sure I don't have to have consent forms to do it :V	k youre sure dont consent form v
0	I'm good. Have you registered to vote?	im good registered vote
0	Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.	future planned tomorrow result today best present enjoy future
0	Its not that time of the month nor mid of the time?	time month mid time
0	Yeah jay's sort of a fucking retard	yeah jay sort fucking retard
0	What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?	dog must always wait till end day word run time cell already
0	I dont have that much image in class.	dont much image class
0	Don know..he is watching film in computer..	knowhe watching film computer
0	I am going to sao mu today. Will be done only at 12 	going sao mu today done
0	Are you this much buzy	much buzy
0	Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that	sweet may may go u meet carlos gauge patty interest
0	At what time are you coming.	time coming
1	Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!	please call customer service representative freephone ampm guaranteed £ cash £ prize
0	Ya but it cant display internal subs so i gotta extract them	ya cant display internal sub got ta extract
0	Aight should I just plan to come up later tonight?	aight plan come later tonight
1	Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X	today offer claim ur £ worth discount voucher text yes savamob member offer mobile c £ sub unsub reply x
0	HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN	hi darlin kate u doin somethin tonight im going pub called swan something parent one drink phone u
0	Ugh hopefully the asus ppl dont randomly do a reformat.	ugh hopefully asus ppl dont randomly reformat
0	Call him and say you not coming today ok and tell them not to fool me like this ok	call say coming today ok tell fool like ok
0	Its just the effect of irritation. Just ignore it	effect irritation ignore
0	Thats cool! I am a gentleman and will treat you with dignity and respect.	thats cool gentleman treat dignity respect
0	Sorry man, my stash ran dry last night and I can't pick up more until sunday	sorry man stash ran dry last night cant pick sunday
0	Howz that persons story	howz person story
0	And how's your husband.	hows husband
0	Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!	wat make people dearer de happiness dat u feel u meet de pain u feel u miss dem
0	From here after The performance award is calculated every two month.not for current one month period..	performance award calculated every two monthnot current one month period
0	The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL	sign maturity start saying big thing actually start understanding small thing nice evening bslvyl
0	I sent lanre fakeye's Eckankar details to the mail box	sent lanre fakeyes eckankar detail mail box
0	Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)	gal n boy walking park galcan hold ur hand boyy u think would run away galno jst wana c feel walking heaven princegn
0	Then u going ikea str aft dat?	u going ikea str aft dat
1	PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04	private account statement show unredeemed point call identifier code expires
0	So when do you wanna gym?	wan na gym
1	Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066	congratulation ur awarded cd voucher gift guaranteed free entry wkly draw txt music
0	Ok lor. I'm in town now lei.	ok lor im town lei
0	Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.	ujhhhhhhh computer shipped address sandiago parantella lane wtf poop
0	Love that holiday Monday feeling even if I have to go to the dentists in an hour	love holiday monday feeling even go dentist hour
0	I've reached home n i bathe liao... U can call me now...	ive reached home n bathe liao u call
0	We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-	know taj mahal symbol love lesser known fact mumtaz shahjahans th wife wife shahjahan killed mumtazs husband marry mumtaz died ltgt th delivery married mumtazs sister question arises hell love great hari
0	I can probably come by, everybody's done around  &lt;#&gt;  right?	probably come everybodys done around ltgt right
0	Mum ask ü to buy food home...	mum ask ü buy food home
1	FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242	freemsgfeelin kinda lnly hope u like keep company jst got cam moby wan na c pictxt reply date msgp rcv hlp stop
0	Does uncle timi help in clearing cars	uncle timi help clearing car
0	No problem with the renewal. I.ll do it right away but i dont know his details.	problem renewal ill right away dont know detail
0	Ok. I.ll do you right later.	ok ill right later
0	We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us	sent jd customer service cum account executive ur mail id detail contact u
0	Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.	hi jon pete ive bin spain recently hav sum dinero left bill said u ur rents mayb interested hav pe around £ tb james
0	Jus finished avatar nigro	jus finished avatar nigro
0	Maybe you should find something else to do instead???	maybe find something else instead
0	Do you know where my lab goggles went	know lab goggles went
0	Watching telugu movie..wat abt u?	watching telugu moviewat abt u
0	Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down	yeah think usual guy still passed last night get ahold anybody let know ill throw
